datetime,datetime_nano,SHFE.cu2606.open,SHFE.cu2606.high,SHFE.cu2606.low,SHFE.cu2606.close,SHFE.cu2606.volume,SHFE.cu2606.open_oi,SHFE.cu2606.close_oi
2026-01-05 10:00:00.000000000,1767578400000000000,100590,100770,100590,100700,64,27084,27116
2026-01-05 10:01:00.000000000,1767578460000000000,100700,100700,100580,100610,25,27116,27119
2026-01-05 10:02:00.000000000,1767578520000000000,100610,100670,100480,100670,18,27119,27118
2026-01-05 10:03:00.000000000,1767578580000000000,100670,100700,100510,100610,11,27118,27114
2026-01-05 10:04:00.000000000,1767578640000000000,100610,100700,100600,100600,13,27114,27115
2026-01-05 10:05:00.000000000,1767578700000000000,100600,100650,100520,100520,4,27115,27115
2026-01-05 10:06:00.000000000,1767578760000000000,100520,100560,100410,100410,78,27115,27153
2026-01-05 10:07:00.000000000,1767578820000000000,100410,100520,100410,100450,29,27153,27161
2026-01-05 10:08:00.000000000,1767578880000000000,100450,100450,100210,100380,87,27161,27166
2026-01-05 10:09:00.000000000,1767578940000000000,100380,100520,100300,100300,21,27166,27172
2026-01-05 10:10:00.000000000,1767579000000000000,100300,100440,100300,100440,39,27172,27183
2026-01-05 10:11:00.000000000,1767579060000000000,100440,100440,100300,100300,26,27183,27188
2026-01-05 10:12:00.000000000,1767579120000000000,100300,100510,100300,100480,77,27188,27197
2026-01-05 10:13:00.000000000,1767579180000000000,100480,100690,100480,100690,22,27197,27193
2026-01-05 10:14:00.000000000,1767579240000000000,100690,100740,100640,100640,21,27193,27194
2026-01-05 10:30:00.000000000,1767580200000000000,100640,100990,100640,100850,110,27194,27196
2026-01-05 10:31:00.000000000,1767580260000000000,100850,101000,100850,100960,63,27196,27229
2026-01-05 10:32:00.000000000,1767580320000000000,100960,101030,100920,100960,24,27229,27230
2026-01-05 10:33:00.000000000,1767580380000000000,100960,100960,100810,100920,23,27230,27224
2026-01-05 10:34:00.000000000,1767580440000000000,100920,100920,100720,100880,37,27224,27224
2026-01-05 10:35:00.000000000,1767580500000000000,100880,100910,100810,100850,10,27224,27225
2026-01-05 10:36:00.000000000,1767580560000000000,100850,100920,100840,100880,52,27225,27231
2026-01-05 10:37:00.000000000,1767580620000000000,100880,100880,100820,100840,38,27231,27254
2026-01-05 10:38:00.000000000,1767580680000000000,100840,100840,100750,100830,28,27254,27260
2026-01-05 10:39:00.000000000,1767580740000000000,100830,100870,100730,100760,52,27260,27272
2026-01-05 10:40:00.000000000,1767580800000000000,100760,100760,100630,100690,29,27272,27272
2026-01-05 10:41:00.000000000,1767580860000000000,100690,100760,100670,100760,13,27272,27273
2026-01-05 10:42:00.000000000,1767580920000000000,100760,100820,100760,100810,9,27273,27273
2026-01-05 10:43:00.000000000,1767580980000000000,100810,100830,100510,100510,36,27273,27272
2026-01-05 10:44:00.000000000,1767581040000000000,100510,100650,100480,100530,21,27272,27269
2026-01-05 10:45:00.000000000,1767581100000000000,100530,100580,100500,100500,11,27269,27268
2026-01-05 10:46:00.000000000,1767581160000000000,100500,100670,100390,100670,16,27268,27266
2026-01-05 10:47:00.000000000,1767581220000000000,100670,100670,100570,100570,43,27266,27294
2026-01-05 10:48:00.000000000,1767581280000000000,100570,100750,100570,100670,9,27294,27293
2026-01-05 10:49:00.000000000,1767581340000000000,100670,100710,100620,100700,29,27293,27293
2026-01-05 10:50:00.000000000,1767581400000000000,100700,100730,100540,100540,36,27293,27284
2026-01-05 10:51:00.000000000,1767581460000000000,100540,100690,100540,100690,72,27284,27303
2026-01-05 10:52:00.000000000,1767581520000000000,100690,100800,100690,100760,17,27303,27305
2026-01-05 10:53:00.000000000,1767581580000000000,100760,100800,100740,100800,7,27305,27307
2026-01-05 10:54:00.000000000,1767581640000000000,100800,100830,100780,100800,34,27307,27318
2026-01-05 10:55:00.000000000,1767581700000000000,100800,100800,100760,100760,27,27318,27331
2026-01-05 10:56:00.000000000,1767581760000000000,100760,100800,100740,100800,8,27331,27331
2026-01-05 10:57:00.000000000,1767581820000000000,100800,100800,100690,100780,22,27331,27332
2026-01-05 10:58:00.000000000,1767581880000000000,100780,100780,100640,100660,12,27332,27334
2026-01-05 10:59:00.000000000,1767581940000000000,100660,100660,100590,100590,9,27334,27330
2026-01-05 11:00:00.000000000,1767582000000000000,100590,100780,100590,100780,7,27330,27328
2026-01-05 11:01:00.000000000,1767582060000000000,100780,100780,100700,100700,7,27328,27331
